col,horizon_min,n_rows,test_mae_ridge,test_mae_naive_persist,test_mae_hgb
15,1,149122,0.13323691534646376,0.15467816617193428,0.2767702354783066
15,15,149094,0.13359700149238274,0.17267772160816744,0.21482342247935582
15,60,149004,0.13751605387931365,0.17177138650917922,0.24692614799316173
15,240,148644,0.16262947409723366,0.1804754792468343,0.6551212389635815
16,1,149600,0.147763146566754,0.16137713186051678,0.375419981945414
16,15,149572,0.14771436260370965,0.1802187144804479,0.44261336943433705
16,60,149487,0.14617747109454698,0.17845299745770885,0.36686851274346427
16,240,149307,0.16831533595433965,0.1875344874745127,0.8516715123792317
