col,horizon_min,n_rows,winsor_lo,winsor_hi,winner_label,train_mae_ridge,train_mae_hgb,train_mae_rf,train_mae_blend,train_mae_winner,val_mae_naive_lag1,val_mae_ridge,val_mae_hgb,val_mae_rf,val_mae_blend,val_mae_winner,sv_winner,wf_disagrees_sv,blend_a,blend_b,blend_w_on_a,test_mae_ridge,test_mae_hgb,test_mae_rf,test_mae_blend,test_mae_winner,test_mae_at_sv_winner,test_mae_at_wf_winner,winner,wf_used,wf_n_folds,wf_mean_val_mae_ridge,wf_mean_val_mae_hgb,wf_mean_val_mae_rf,wf_mean_val_mae_blend
15,20,149084,50.1000023,56.0,blend:ridge+rf w=0.90,1.1356234948492563,1.0590740235019394,1.0218222977938956,1.1212923029908728,1.1212923029908728,0.7186122229802947,0.5319474155846516,0.6377862910013676,0.6262503743338522,0.5294175458199093,0.5294175458199093,blend,False,ridge,rf,0.9,0.13362204341638972,0.47774891199880704,0.26030986782475624,0.14121871281160492,0.14121871281160492,0.14121871281160492,0.14121871281160492,blend,True,7,0.7933095172695651,0.7886960620774096,0.7867462249831124,0.7622595431513572
16,20,149562,50.0545855,56.0,blend:ridge+hgb w=0.90,1.129844978800721,1.0700517567889027,1.0274864903091896,1.1214952072942328,1.1214952072942328,0.7280684311844372,0.5343044428217494,0.6302864055397165,0.6150336070920892,0.5313113785239346,0.5313113785239346,blend,False,ridge,hgb,0.9,0.1474527558520266,0.40910497505495796,0.28743967299554796,0.1712926935800651,0.1712926935800651,0.1712926935800651,0.1712926935800651,blend,True,7,0.8010157052850247,0.7690236938214259,0.7640583596110299,0.750928897947986
17,20,149123,1.21499991,2.2259500000000845,blend:ridge+rf w=0.33,0.13301433009942099,0.12667686033280193,0.1141592961186837,0.1193228140248883,0.1193228140248883,0.20275212196074818,0.15162457096430118,0.15135768498669458,0.15006448074396725,0.14908190785454514,0.14908190785454514,blend,False,ridge,rf,0.325,0.16841724112602616,0.1638448630663076,0.16518374895541524,0.1636833475372632,0.1636833475372632,0.1636833475372632,0.1636833475372632,blend,True,7,0.14509196530879856,0.14970028299690633,0.14957372212864292,0.14405953031904298
18,20,149542,1.2151549212000001,2.183832502700002,blend:ridge+rf w=0.25,0.13194401609215117,0.1267555916018468,0.11451082600223329,0.11801905089277914,0.11801905089277914,0.20858077391215787,0.15208168985494935,0.15321209931208898,0.14974660331944892,0.14939617689133325,0.14939617689133325,blend,False,ridge,rf,0.25,0.16855768350177025,0.16188770143300507,0.16223106255639405,0.16153368189969647,0.16153368189969647,0.16153368189969647,0.16153368189969647,blend,True,7,0.14505688382780282,0.14771044686341747,0.14709380301575134,0.14385928085642788
19,20,149123,3.41465259,9.237698770000172,blend:ridge+rf w=0.40,0.9660859594197566,0.9105216693258679,0.8751261069312121,0.9033528284802296,0.9033528284802296,1.3473257395639977,0.9920439230395707,0.9894068760963438,0.9825502218990588,0.9755629345376096,0.9755629345376096,blend,False,ridge,rf,0.4,0.994865803357956,1.0048516879296248,1.0169738281265002,0.9968296614939394,0.9968296614939394,0.9968296614939394,0.9968296614939394,blend,True,7,0.9792320756800067,0.9669173341226222,0.9594754041879331,0.9489453260308809
20,20,149750,3.4243880357000003,9.329870080000145,blend:ridge+rf w=0.62,0.9537052589708628,0.9213861093458603,0.8835039441933314,0.9220322150622932,0.9220322150622932,1.3840425081046366,0.9868453395728372,0.9979571097795485,0.9939613235055127,0.9828206318591063,0.9828206318591063,blend,False,ridge,rf,0.625,0.9819797585008337,1.0064641721826606,1.018184449273451,0.9885627492193466,0.9885627492193466,0.9885627492193466,0.9885627492193466,blend,True,7,0.9738919212681656,0.979894358199207,0.967207713643323,0.9585211002830171
75,20,139693,380.6666666666667,412.0,blend:ridge+hgb w=1.00,2.0217345782557192,1.7097188108498145,1.4310812581142587,2.0217345782557192,2.0217345782557192,3.040311963394474,2.578630386418583,2.6753775739101497,2.6928899475916475,2.578630386418583,2.578630386418583,ridge,True,ridge,hgb,1.0,2.461827193543983,2.5851818099132773,2.6131681673792633,2.461827193543983,2.461827193543983,2.461827193543983,2.461827193543983,blend,True,7,2.262488728703539,3.4696450401022765,3.2069666589016745,2.262422081730446
76,20,138940,382.0,416.0,blend:ridge+hgb w=1.00,2.955400556735594,2.511079263040833,2.1010049553772494,2.955400556735594,2.955400556735594,4.766839660621522,4.073838593043073,4.349768498298887,4.290602985494043,4.073838593043073,4.073838593043073,ridge,True,ridge,hgb,1.0,4.126494075545667,4.384482912378109,4.346497852350513,4.126494075545667,4.126494075545667,4.126494075545667,4.126494075545667,blend,True,7,3.1824137965860975,4.32889721695258,4.106999618250899,3.177557566014298
77,20,139326,382.0,415.0,blend:ridge+hgb w=1.00,2.5016537726749903,2.1065034277352686,1.7397012407072565,2.5016537726749903,2.5016537726749903,3.9172963242703847,3.397184012407998,3.578478011981544,3.6103736695595345,3.397184012407998,3.397184012407998,ridge,True,ridge,hgb,1.0,3.6613034690024127,3.870506904403358,4.071582623373128,3.6613034690024127,3.6613034690024127,3.6613034690024127,3.6613034690024127,blend,True,7,2.7329039324730267,4.14275005397724,3.6550390961563264,2.7298058803917256
71,20,124413,55.0,78.9,blend:ridge+hgb w=1.00,3.2748914198678136,2.6445840413805066,2.2304832428761787,3.2748914198678136,3.2748914198678136,3.758111693701556,3.6503468995817863,4.030612343065125,3.895118935103805,3.6503468995817863,3.6503468995817863,ridge,True,ridge,hgb,1.0,4.307722495054268,4.526901599281075,4.42605983166569,4.307722495054268,4.307722495054268,4.307722495054268,4.307722495054268,blend,True,7,3.4046110325908048,3.6196870843218996,3.537347675567315,3.4016925321733638
15,45,149034,50.1000023,56.0,blend:ridge+hgb w=0.88,1.140390962266612,1.060110828095574,1.0258245943472888,1.1269542713508482,1.1269542713508482,0.7306527961664058,0.5424089046469781,0.631497511787356,0.6220665670831756,0.5377503006187279,0.5377503006187279,blend,False,ridge,hgb,0.875,0.13607243292503296,0.3494503083026392,0.309982859022834,0.15430206754467587,0.15430206754467587,0.15430206754467587,0.15430206754467587,blend,True,7,0.8138046743968756,0.7952952789734568,0.7664731243718794,0.7532957179194808
16,45,149512,50.0545855,56.0,blend:ridge+hgb w=0.88,1.1310857153096998,1.0707449486167835,1.0275258711062227,1.1210596178639218,1.1210596178639218,0.7347290355293469,0.5398303367236605,0.6261455336078707,0.6124896048230419,0.535668089756796,0.535668089756796,blend,False,ridge,hgb,0.875,0.14812364228630653,0.4137506227432993,0.3169479861799029,0.1783443555743506,0.1783443555743506,0.1783443555743506,0.1783443555743506,blend,True,7,0.8139356397259175,0.7849577490789034,0.7810260711124359,0.7699480643621809
17,45,149073,1.21499991,2.2259500000000845,blend:ridge+rf w=0.75,0.13465821886052137,0.12564024268898313,0.11500705463866578,0.12906316607534976,0.12906316607534976,0.2078397856784572,0.15733898183935757,0.16989786890839584,0.15996330201306475,0.15698340863538315,0.15698340863538315,blend,False,ridge,rf,0.75,0.1726508523288211,0.17143998362846105,0.1681217293071662,0.1695535350550636,0.1695535350550636,0.1695535350550636,0.1695535350550636,blend,True,7,0.14815905509678512,0.1571060391461934,0.15360254017815514,0.14751327913716736
18,45,149492,1.2151549212000001,2.183832502700002,blend:ridge+rf w=0.28,0.132675673115226,0.127224610857238,0.11443306168431032,0.11851850556110645,0.11851850556110645,0.21061469864956656,0.15518566018402785,0.156525016754405,0.1531418781958328,0.1526789042480592,0.1526789042480592,blend,False,ridge,rf,0.275,0.1718085231280026,0.16313445780211355,0.1626886103528275,0.16264166025667623,0.16264166025667623,0.16264166025667623,0.16264166025667623,blend,True,7,0.14654212467648592,0.1498647025827756,0.14848286031238175,0.14535912450980212
19,45,149073,3.41465259,9.237698770000172,blend:ridge+rf w=0.53,0.9693764704216633,0.9149930240203978,0.8803949070800994,0.9197068022555408,0.9197068022555408,1.3773871284565091,1.0104849914982295,1.0287220327802353,1.0104571736706813,1.001349187175233,1.001349187175233,blend,False,ridge,rf,0.525,0.9943903346014856,1.0179985010198591,1.0290530028535183,0.9985642094480837,0.9985642094480837,0.9985642094480837,0.9985642094480837,blend,True,7,0.9927063937817445,1.01421297207551,0.9918123692112392,0.9726799128387452
20,45,149725,3.4243880357000003,9.329870080000145,blend:ridge+hgb w=0.60,0.9536848361203203,0.9244451197017641,0.8837996539955886,0.9379209463865563,0.9379209463865563,1.3963994698634585,0.9925032816736921,0.9969380508525879,0.9978876737972124,0.9884768857666925,0.9884768857666925,blend,False,ridge,hgb,0.6000000000000001,0.9809926382583467,1.002712772119824,1.0151332631911867,0.9849245560571944,0.9849245560571944,0.9849245560571944,0.9849245560571944,blend,True,7,0.9788921163570717,0.9894653579324306,0.9800075616712967,0.9685299833021942
75,45,139257,380.6666666666667,412.0,blend:ridge+hgb w=0.85,2.1806935964896472,1.7227753019252843,1.3631376802157564,2.0975610366254442,2.0975610366254442,3.3607133211961666,2.7932133132016395,2.9099067110445582,2.9422482935864607,2.7906555933786743,2.7906555933786743,blend,False,ridge,hgb,0.8500000000000001,2.59017585548695,2.7621847835138293,2.732518842259823,2.5725993057290957,2.5725993057290957,2.5725993057290957,2.5725993057290957,blend,True,7,2.50384564180426,3.266021184719928,3.278527111149909,2.4973234929329076
76,45,138494,382.0,416.0,blend:ridge+hgb w=0.88,3.1197290768452506,2.5497305672792314,1.991751780986257,3.0360644709885007,3.0360644709885007,5.174619163443394,4.309956704799002,4.558808234981374,4.622600796179668,4.304806695079932,4.304806695079932,blend,False,ridge,hgb,0.875,4.340781182583074,4.625056693122977,4.6184253205409584,4.319263572045728,4.319263572045728,4.319263572045728,4.319263572045728,blend,True,7,3.4102272100702655,4.25164277462057,4.049180225311772,3.395510553927772
