col,horizon_min,n_rows,winsor_lo,winsor_hi,winner_label,train_mae_ridge,train_mae_hgb,train_mae_rf,train_mae_blend,train_mae_winner,val_mae_naive_lag1,val_mae_ridge,val_mae_hgb,val_mae_rf,val_mae_blend,val_mae_winner,sv_winner,wf_disagrees_sv,blend_a,blend_b,blend_w_on_a,test_mae_ridge,test_mae_hgb,test_mae_rf,test_mae_blend,test_mae_winner,test_mae_at_sv_winner,test_mae_at_wf_winner,winner,wf_used,wf_n_folds,wf_mean_val_mae_ridge,wf_mean_val_mae_hgb,wf_mean_val_mae_rf,wf_mean_val_mae_blend
15,2,149120,50.1000023,56.0,blend:ridge+rf w=0.95,1.1318564156799904,1.0545430357770456,1.0172843881644222,1.124635492617649,1.124635492617649,0.7106357420429483,0.5241781040191781,0.6633121406104805,0.6392032738781827,0.5227783481661112,0.5227783481661112,blend,False,ridge,rf,0.9500000000000001,0.1327499232690922,0.4413949043858594,0.19288517699703306,0.13415828340772576,0.13415828340772576,0.13415828340772576,0.13415828340772576,blend,True,7,0.7782144775792723,0.7626700799273376,0.7861828347063783,0.7445135714130038
16,2,149598,50.0545855,56.0,blend:ridge+hgb w=0.95,1.1289067874956915,1.0678928986144367,1.0278877485822424,1.1246202828235272,1.1246202828235272,0.7242069344299613,0.5303046935886102,0.6747047639038909,0.6195634063711636,0.5291564473137239,0.5291564473137239,blend,False,ridge,hgb,0.9500000000000001,0.14696806594678238,0.6037454103479545,0.3441787150077678,0.1683009563939781,0.1683009563939781,0.1683009563939781,0.1683009563939781,blend,True,7,0.7905674024527778,0.7654674721709336,0.7705025758624393,0.7456707074290367
17,2,149159,1.21499991,2.2259500000000845,blend:hgb+rf w=0.50,0.1316554463859363,0.12492382351607156,0.11349972457953743,0.1186560657961495,0.1186560657961495,0.19732507800877014,0.14697595937308414,0.14426920355091677,0.144176958939021,0.1435205486065265,0.1435205486065265,blend,False,hgb,rf,0.5,0.16535725643439603,0.16122264465717054,0.16095430473942862,0.15998383762305737,0.15998383762305737,0.15998383762305737,0.15998383762305737,blend,True,7,0.14257317810831446,0.1438301574861202,0.14355372054698848,0.14038642676097773
18,2,149578,1.2151549212000001,2.183832502700002,blend:hgb+rf w=0.55,0.13141288800280534,0.12569558256440358,0.11393776353116997,0.11980678992189842,0.11980678992189842,0.2072678203608508,0.14985001732035658,0.14733267801252778,0.1476335594499332,0.1467182952415218,0.1467182952415218,blend,False,hgb,rf,0.55,0.1662791992316072,0.16106701794121114,0.1614671064466115,0.16009547679188185,0.16009547679188185,0.16009547679188185,0.16009547679188185,blend,True,7,0.14398449820372852,0.1452645284090047,0.14574935071275735,0.14261021386627848
19,2,149159,3.41465259,9.237698770000172,blend:ridge+rf w=0.35,0.9638783761618587,0.9045361621234329,0.8667619830120932,0.8924090696615353,0.8924090696615353,1.3276716870395548,0.9770946645166332,0.979332974009389,0.958353662426511,0.9520863323133606,0.9520863323133606,blend,False,ridge,rf,0.35000000000000003,0.9976264500895294,1.0230164279835314,1.0176224984712914,0.9981668583631792,0.9981668583631792,0.9981668583631792,0.9981668583631792,blend,True,7,0.968936347929847,0.9485809224144813,0.9379121602737651,0.9291864539699208
20,2,149770,3.4243880357000003,9.329870080000145,blend:ridge+rf w=0.75,0.9545980269391263,0.9178280825856104,0.8790988986533519,0.9315233728239594,0.9315233728239594,1.3757167041556762,0.9825988239688699,0.9988623465924361,0.9981094175638872,0.9788909739260282,0.9788909739260282,blend,False,ridge,rf,0.75,0.9846086038496915,1.0273870392263937,1.0375212237163607,0.9886960666384772,0.9886960666384772,0.9886960666384772,0.9886960666384772,blend,True,7,0.9704542694728985,0.9746828097834571,0.9613792121166874,0.952100231711942
75,2,140646,380.6666666666667,412.0,blend:ridge+hgb w=1.00,1.6819815946101602,1.5125196851025737,1.274638152794139,1.6819815946101602,1.6819815946101602,2.5436739820187073,2.2406968201228246,2.387996602992476,2.3553046649186498,2.2406968201228246,2.2406968201228246,ridge,True,ridge,hgb,1.0,2.154834482867233,2.3611524381745994,2.307604766842067,2.154834482867233,2.154834482867233,2.154834482867233,2.154834482867233,blend,True,7,1.8512311243880846,2.290336316177098,1.9535055266453776,1.8463635327150514
76,2,140032,382.0,416.0,blend:ridge+hgb w=1.00,2.475453733906106,2.1933807907326854,1.8777866927851024,2.475453733906106,2.475453733906106,3.953386352384962,3.5876554211628586,3.7389652974895533,3.7635696406762027,3.5876554211628586,3.5876554211628586,ridge,True,ridge,hgb,1.0,3.6306121115142984,3.7613166789340995,3.7846911163397734,3.6306121115142984,3.6306121115142984,3.6306121115142984,3.6306121115142984,blend,True,7,2.6970846759980183,3.203522005113535,2.8822957145556787,2.686595179026997
77,2,140371,382.0,415.0,blend:ridge+hgb w=1.00,2.059427550716484,1.8293690347954605,1.5678105114533458,2.059427550716484,2.059427550716484,3.2404328006988687,2.9700705734940573,3.1780645741519216,3.1397709675155494,2.9700705734940573,2.9700705734940573,ridge,True,ridge,hgb,1.0,3.1461729423269076,3.4129208778807754,3.3971823226707274,3.1461729423269076,3.1461729423269076,3.1461729423269076,3.1461729423269076,blend,True,7,2.2409121768633904,2.6401957163975527,2.4190450081334056,2.2333640940321025
71,2,126481,55.0,78.9,blend:ridge+hgb w=0.55,2.2620934036204496,1.8098090390377954,1.5412030021923486,2.042042927210639,2.042042927210639,2.1127237591323373,2.484256109992783,2.4999219862002664,2.486938362254421,2.4640898431285154,2.4640898431285154,blend,False,ridge,hgb,0.55,2.844271437161449,2.699596952892808,2.9077118551507075,2.7398934840159344,2.7398934840159344,2.7398934840159344,2.7398934840159344,blend,True,7,2.334387856417059,2.291335408543115,2.2459438116025034,2.223142105672438
